                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.27263,                0.41462,                0.24065,                0.85231,                0.81349,                0.84427,                0.88991,                 0.7818,                0.81285,                0.84361,                0.88858,                0.77593,                0.59881,                 1.0148,                0.80304,                 1.1529,             0.00015558,             0.00015558,             0.00015558
                     81,                0.27821,                0.42324,                0.25395,                0.85589,                0.81635,                 0.8118,                0.87961,                0.77275,                0.81835,                0.81378,                0.88155,                0.76833,                0.61577,                 1.0351,                0.86352,                 1.1744,             0.00014851,             0.00014851,             0.00014851
                     82,                0.27021,                0.41724,                0.24286,                0.84954,                0.80197,                0.84807,                0.88188,                0.77606,                0.80197,                0.84807,                0.88103,                0.76816,                0.60773,                 1.0563,                0.79944,                 1.1802,             0.00014144,             0.00014144,             0.00014144
                     83,                0.26855,                0.41073,                0.24114,                0.85192,                0.80223,                 0.8562,                0.88955,                 0.7777,                0.80075,                0.85487,                0.88839,                0.77417,                0.60723,                  1.005,                0.75571,                   1.16,             0.00013437,             0.00013437,             0.00013437
                     84,                0.26345,                0.40109,                 0.2373,                0.84921,                0.80198,                 0.8347,                0.87422,                0.76656,                0.80134,                0.83404,                0.87413,                0.76201,                0.61646,                  1.009,                0.84662,                 1.1602,             0.00012731,             0.00012731,             0.00012731
                     85,                0.25805,                0.39397,                0.22854,                0.84399,                0.79308,                0.85023,                0.88655,                0.77366,                0.79073,                0.84883,                0.88487,                0.76813,                0.63123,                 1.0547,                0.81517,                 1.2089,             0.00012024,             0.00012024,             0.00012024
                     86,                0.26345,                0.40051,                0.23113,                0.84859,                0.80743,                0.85024,                0.88952,                0.78506,                 0.8068,                0.84958,                0.88886,                 0.7765,                0.61868,                 1.0306,                 0.8498,                 1.1826,             0.00011317,             0.00011317,             0.00011317
                     87,                0.25894,                0.39165,                0.22652,                 0.8456,                0.79469,                0.84957,                0.87619,                0.76927,                0.79278,                0.84933,                0.87539,                0.76487,                0.62089,                 1.0362,                0.80392,                 1.1931,              0.0001061,              0.0001061,              0.0001061
                     88,                0.25639,                0.39197,                0.22312,                 0.8445,                 0.8167,                0.83856,                0.88408,                0.77933,                0.81606,                0.83789,                0.88425,                 0.7742,                0.61935,                 1.0203,                0.84059,                 1.1939,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.25872,                0.39368,                0.22805,                0.84718,                0.81783,                0.86874,                0.88162,                0.77735,                0.81629,                0.86879,                0.88119,                0.77005,                0.61088,                 1.0159,                0.79431,                 1.1815,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.2545,                0.38837,                0.21899,                0.84366,                0.81708,                0.85844,                 0.8797,                0.77406,                0.81645,                0.85777,                0.87975,                0.76836,                0.60786,                 1.0217,                0.82985,                 1.1837,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.25018,                0.38808,                0.21973,                0.83952,                0.80972,                  0.846,                0.87861,                0.77643,                0.80972,                  0.846,                0.87849,                 0.7693,                0.59884,                 1.0101,                0.86184,                 1.1562,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.24715,                0.38432,                0.21874,                0.84517,                0.81023,                0.85164,                0.87032,                0.77143,                0.81023,                0.85164,                0.87055,                0.76432,                0.60116,                 1.0215,                0.83855,                 1.1574,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.24817,                0.39051,                0.21245,                 0.8452,                0.82156,                 0.8224,                0.88449,                0.78402,                0.82082,                0.82272,                0.88449,                0.77662,                 0.6072,                 1.0187,                 0.8886,                 1.1611,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.24537,                0.38713,                0.21137,                0.83615,                0.82346,                 0.8171,                0.88405,                0.78448,                0.82213,                0.81577,                0.88353,                0.77478,                0.60938,                 1.0256,                0.89471,                  1.169,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.24105,                0.37879,                0.20961,                0.83979,                0.81549,                0.82008,                0.87408,                0.77592,                0.81614,                0.82074,                0.87436,                0.76875,                0.61529,                 1.0315,                0.91495,                 1.1796,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.23952,                0.36886,                0.21187,                0.83719,                0.81004,                0.83698,                0.88007,                0.77613,                 0.8094,                0.83632,                0.87931,                0.77036,                0.62166,                  1.052,                0.86272,                 1.1913,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.23838,                0.36729,                0.20821,                0.83797,                0.80207,                0.83698,                0.87764,                0.77628,                0.80141,                0.83708,                0.87705,                0.77112,                0.61301,                  1.041,                0.86753,                 1.1798,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.24088,                0.37568,                0.20855,                0.83283,                0.80666,                0.83366,                0.87953,                0.77618,                0.80601,                  0.833,                0.87844,                 0.7711,                0.60792,                 1.0545,                0.84574,                 1.1783,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.23226,                 0.3688,                0.20058,                0.83676,                0.81677,                0.83302,                0.87797,                0.77475,                0.81558,                  0.833,                0.87709,                0.76929,                0.60629,                 1.0437,                0.85306,                 1.1778,             2.1277e-05,             2.1277e-05,             2.1277e-05
